 ;Life Exp Male at Birth;Life Exp Fem. at Birth;Gross Netto Income per Capita 2005 in US$
Bangladesh ;62;63;2340
Brazil ;68;76;8800
Canada ;78;83;34610
China ;71;74;7730
Czech Republic ;73;79;21160
Egypt ;68;73;4680
France ;77;84;32130
Germany ;76;82;31280
Ghana ;58;59;2640
India ;63;64;3800
Indonesia ;67;71;3950
Iran ;68;71;8480
Israel ;78;82;25470
Japan ;79;86;33730
Kenya ;53;53;1300
Nepal ;62;63;1630
Pakistan ;61;63;2500
Romania ;68;75;9820
Russia ;59;72;11620
Spain ;77;83;28420
Sudan ;56;59;2160
Switzerland ;79;84;40630
Turkey ;69;74;9060
United Kingdom ;77;81;35690
United States ;75;80;44260
